Symbol,Exchange,Underlying,Leverage,Currency,ISIN,Name,Date,Open,High,Low,Close,Volume,Turnover,NAV,FX_Pair,FX_Rate,Open_KRW,High_KRW,Low_KRW,Close_KRW,NAV_KRW
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-05-29,22290.0,24000.0,21940.0,23580.0,397015,9117037277.0,23549.01,-,1.0,22290.0,24000.0,21940.0,23580.0,23549.01
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-01,23820.0,29555.0,23820.0,28735.0,681321,18523283856.0,29058.8,-,1.0,23820.0,29555.0,23820.0,28735.0,29058.8
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-02,42035.0,42035.0,28095.0,30320.0,609410,18262746057.0,29692.43,-,1.0,42035.0,42035.0,28095.0,30320.0,29692.43
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-04,28215.0,30955.0,28125.0,28650.0,335569,9818098877.0,28175.42,-,1.0,28215.0,30955.0,28125.0,28650.0,28175.42
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-05,25360.0,26925.0,24095.0,24825.0,304862,7694914848.0,24087.13,-,1.0,25360.0,26925.0,24095.0,24825.0,24087.13
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-08,18835.0,22550.0,18835.0,19725.0,365383,7660240615.0,18989.33,-,1.0,18835.0,22550.0,18835.0,19725.0,18989.33
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-09,21495.0,23175.0,20010.0,23175.0,322038,7015541957.0,22733.95,-,1.0,21495.0,23175.0,20010.0,23175.0,22733.95
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-10,21420.0,21940.0,19150.0,20090.0,219650,4451886687.0,20471.9,-,1.0,21420.0,21940.0,19150.0,20090.0,20471.9
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-11,18655.0,20520.0,18205.0,19405.0,157532,3060863162.0,19619.27,-,1.0,18655.0,20520.0,18205.0,19405.0,19619.27
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-12,23240.0,24800.0,22475.0,22555.0,290324,6926274590.0,22700.0,-,1.0,23240.0,24800.0,22475.0,22555.0,22700.0
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-15,25575.0,25575.0,24460.0,24730.0,209814,5235347743.0,24828.31,-,1.0,25575.0,25575.0,24460.0,24730.0,24828.31
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-16,25690.0,25925.0,24255.0,25570.0,302385,7580655359.0,25659.89,-,1.0,25690.0,25925.0,24255.0,25570.0,25659.89
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-17,24040.0,26435.0,23995.0,26305.0,358436,8923258202.0,26492.29,-,1.0,24040.0,26435.0,23995.0,26305.0,26492.29
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-18,26105.0,28850.0,25970.0,28850.0,564023,15216881860.0,28632.17,-,1.0,26105.0,28850.0,25970.0,28850.0,28632.17
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-19,30400.0,30690.0,26230.0,27480.0,478490,13759301534.0,27040.38,-,1.0,30400.0,30690.0,26230.0,27480.0,27040.38
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-22,26195.0,28770.0,25605.0,27155.0,296905,8158818597.0,27242.1,-,1.0,26195.0,28770.0,25605.0,27155.0,27242.1
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-23,26720.0,27095.0,20325.0,20325.0,511137,12536579445.0,20400.99,-,1.0,26720.0,27095.0,20325.0,20325.0,20400.99
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-24,20910.0,24445.0,20885.0,24200.0,517562,11925717665.0,24577.48,-,1.0,20910.0,24445.0,20885.0,24200.0,24577.48
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-25,26890.0,27625.0,26155.0,27035.0,477745,12898633208.0,27258.94,-,1.0,26890.0,27625.0,26155.0,27035.0,27258.94
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-26,26395.0,27030.0,21395.0,23960.0,653021,15706384497.0,24631.98,-,1.0,26395.0,27030.0,21395.0,23960.0,24631.98
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-29,22855.0,23095.0,20840.0,22100.0,410260,8947890245.0,21853.99,-,1.0,22855.0,23095.0,20840.0,22100.0,21853.99
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-06-30,22110.0,24595.0,21575.0,23450.0,375836,8753000700.0,23444.07,-,1.0,22110.0,24595.0,21575.0,23450.0,23444.07
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-07-01,23580.0,24655.0,20090.0,20760.0,264479,5695454657.0,20621.37,-,1.0,23580.0,24655.0,20090.0,20760.0,20621.37
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-07-02,17955.0,19090.0,16160.0,16815.0,487809,8660437266.0,16637.11,-,1.0,17955.0,19090.0,16160.0,16815.0,16637.11
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-07-03,17080.0,20010.0,16530.0,19630.0,438555,8104970236.0,19416.69,-,1.0,17080.0,20010.0,16530.0,19630.0,19416.69
0198D0.KS,KRX,SK Hynix,2x,KRW,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,2026-05-27,35930.0,35930.0,25845.0,26830.0,431931,12118510551.0,26611.26,-,1.0,35930.0,35930.0,25845.0,26830.0,26611.26
0198D0.KS,KRX,SK Hynix,2x,KRW,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,2026-05-28,26830.0,29810.0,24405.0,27640.0,681373,18360265535.0,27960.54,-,1.0,26830.0,29810.0,24405.0,27640.0,27960.54
0198D0.KS,KRX,SK Hynix,2x,KRW,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,2026-05-29,29650.0,30000.0,27640.0,28635.0,359102,10378446067.0,28870.64,-,1.0,29650.0,30000.0,27640.0,28635.0,28870.64
